OTUID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Domain,Phylum,Class,Order,Family,Genus,Species
OUT_1,10,332,49,3,10,635,374,18,27,14,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Virgibacillus sp. XJSL9-10
OUT_2,116,122,40,103,122,88,108,60,126,99,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. Nu-1
OUT_3,12,68,87,11,16,36,33,117,253,235,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_4,29,166,207,13,41,161,106,35,24,35,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium
OUT_5,66,105,69,54,88,99,78,35,80,110,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Kaistobacter sp.
OUT_6,102,39,60,59,131,41,46,118,79,70,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured bacterium
OUT_7,49,61,38,109,73,44,46,58,70,80,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus sp. Fy7-2
OUT_8,14,107,179,2,14,98,79,29,18,9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas alliivorans
OUT_9,63,53,38,59,49,47,58,70,51,40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured bacterium
OUT_10,80,22,33,40,91,23,29,121,37,52,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured proteobacterium
OUT_11,77,62,11,62,66,61,56,32,36,41,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus timonensis
OUT_12,33,61,128,11,27,50,40,3,18,12,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,uncultured Pseudoxanthomonas sp.
OUT_13,1,55,230,0,1,24,46,8,6,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas pacifica
OUT_14,72,27,4,76,68,17,13,50,20,23,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured proteobacterium
